TIMESTAMP,ContextTokens,GeneratedTokens
2024-01-01 00:44:29.509274,1560,170
2024-01-01 00:44:29.627672,13965,837
2024-01-01 00:44:29.764259,6555,3
2024-01-01 00:44:29.844948,6803,3
2024-01-01 00:44:30.212549,6222,35
2024-01-01 00:44:30.291083,1456,234
2024-01-01 00:44:30.429166,15987,461
2024-01-01 00:44:30.478935,60740,125
2024-01-01 00:44:30.637552,3081,19
2024-01-01 00:44:30.693892,7033,3
2024-01-01 00:44:30.750070,3153,22
2024-01-01 00:44:30.886155,1012,215
2024-01-01 00:44:31.088419,3141,18
2024-01-01 00:44:31.205466,6482,3
2024-01-01 00:44:31.411864,9390,466
2024-01-01 00:44:31.635428,11438,464
2024-01-01 00:44:31.679424,6183,3
2024-01-01 00:44:31.819276,12882,419
2024-01-01 00:44:31.819505,8873,385
2024-01-01 00:44:31.855982,7148,3
2024-01-01 00:44:31.856390,6810,3
2024-01-01 00:44:31.875468,2975,16
2024-01-01 00:44:31.879538,6380,3
2024-01-01 00:44:31.965426,2459,245
2024-01-01 00:44:32.229987,14274,217
2024-01-01 00:44:32.343097,3139,21
2024-01-01 00:44:32.425133,6476,3
2024-01-01 00:44:32.867686,3056,24
2024-01-01 00:44:32.887609,5796,814
2024-01-01 00:44:33.076222,6856,28
2024-01-01 00:44:33.216832,3153,21
2024-01-01 00:44:33.272787,8848,3
2024-01-01 00:44:33.321635,7140,34
2024-01-01 00:44:33.328020,13563,284
2024-01-01 00:44:33.720774,5548,48
2024-01-01 00:44:33.728738,6169,3
2024-01-01 00:44:33.755184,8077,455
2024-01-01 00:44:33.784335,6711,3
2024-01-01 00:44:34.022863,3166,16
2024-01-01 00:44:34.364661,3178,16
2024-01-01 00:44:34.527734,6305,3
2024-01-01 00:44:34.631106,3111,19
2024-01-01 00:44:34.684220,3129,20
2024-01-01 00:44:34.702917,6186,3
2024-01-01 00:44:34.938021,2037,740
2024-01-01 00:44:34.945120,7985,51
2024-01-01 00:44:35.173657,74319,140
2024-01-01 00:44:35.205359,16518,346
2024-01-01 00:44:35.247972,3155,18
2024-01-01 00:44:35.335770,6166,3
2024-01-01 00:44:35.347638,2850,222
2024-01-01 00:44:35.356428,7095,3
2024-01-01 00:44:35.762812,6995,28
2024-01-01 00:44:35.780522,19036,451
2024-01-01 00:44:35.887726,4425,284
2024-01-01 00:44:36.023603,15687,580
2024-01-01 00:44:36.556771,6765,3
2024-01-01 00:44:36.635113,6301,28
2024-01-01 00:44:36.722377,7215,34
2024-01-01 00:44:36.801521,7799,417
2024-01-01 00:44:37.041276,6594,39
2024-01-01 00:44:37.096768,20163,733
2024-01-01 00:44:37.122738,6610,3
2024-01-01 00:44:37.209377,6617,30
2024-01-01 00:44:37.262684,12557,85
2024-01-01 00:44:37.302063,1205,19
2024-01-01 00:44:37.388483,6393,25
2024-01-01 00:44:37.497283,2456,380
2024-01-01 00:44:37.706460,50267,147
2024-01-01 00:44:37.768327,2639,366
2024-01-01 00:44:37.828949,6299,3
2024-01-01 00:44:37.864352,7077,30
2024-01-01 00:44:38.029561,9663,469
2024-01-01 00:44:38.265676,1350,102
2024-01-01 00:44:38.454235,25409,628
2024-01-01 00:44:38.478995,6839,3
2024-01-01 00:44:38.601097,925,521
2024-01-01 00:44:38.630691,6170,26
2024-01-01 00:44:38.827600,8196,66
2024-01-01 00:44:39.409257,7364,33
